ano,trimestre,categoria,tipo,instituicao,indice,reclamacoes_procedentes,reclamacoes_total,total_clientes
2020,1º,Mais de quatro milhões de clientes,Banco/financeira,BANCO DO NORDESTE DO BRASIL S.A.,2.25,18.0,59.0,7989745.0
2020,1º,Menos de quatro milhões de clientes,Banco/financeira,BANCO FIBRA S.A.,,1.0,1.0,165324.0
2020,1º,Menos de quatro milhões de clientes,Banco/financeira,BANCO INBURSA S.A.,,1.0,6.0,11309.0
2020,1º,Menos de quatro milhões de clientes,Banco/financeira,BANCO LUSO BRASILEIRO S.A.,,1.0,1.0,10401.0
2020,1º,Menos de quatro milhões de clientes,Banco/financeira,BANCO MONEO S.A.,,0.0,1.0,1240.0
2020,1º,Menos de quatro milhões de clientes,Banco/financeira,BANCO SEMEAR S.A.,,0.0,2.0,260283.0
2020,1º,Menos de quatro milhões de clientes,Banco/financeira,BANCO TOPÁZIO S.A.,,3.0,7.0,21862.0
2020,1º,Menos de quatro milhões de clientes,Banco/financeira,BANCO TOYOTA DO BRASIL S.A.,,5.0,18.0,182525.0
2020,1º,Menos de quatro milhões de clientes,Banco/financeira,BANCO TRIANGULO S.A.,,4.0,19.0,1992724.0
2020,1º,Menos de quatro milhões de clientes,Banco/financeira,BANCO VIPAL S.A.,,0.0,1.0,436.0
2020,1º,Menos de quatro milhões de clientes,Conglomerado,BANCOOB (conglomerado),,11.0,48.0,3711895.0
2020,1º,Menos de quatro milhões de clientes,Banco/financeira,BANCOSEGURO S.A.,,0.0,3.0,192087.0
2020,1º,Menos de quatro milhões de clientes,Conglomerado,BANESTES (conglomerado),12.34,16.0,57.0,1295724.0
2020,1º,Mais de quatro milhões de clientes,Conglomerado,BANRISUL (conglomerado),21.8,109.0,573.0,4998869.0
2020,1º,Menos de quatro milhões de clientes,Conglomerado,BARIGUI (conglomerado),996.26,28.0,52.0,28105.0
2020,1º,Mais de quatro milhões de clientes,Conglomerado,BB (conglomerado),19.07,1258.0,6051.0,65965945.0
2020,1º,Menos de quatro milhões de clientes,Banco/financeira,BBVA BRASIL BANCO DE INVESTIMENTO S.A.,,0.0,2.0,0.0
2020,1º,Mais de quatro milhões de clientes,Conglomerado,BMG (conglomerado),82.07,407.0,1414.0,4958841.0
2020,1º,Menos de quatro milhões de clientes,Conglomerado,BMW (conglomerado),,1.0,4.0,24006.0
2020,1º,Menos de quatro milhões de clientes,Conglomerado,BNP PARIBAS (conglomerado),217.64,684.0,1139.0,3142799.0
2020,1º,Menos de quatro milhões de clientes,Conglomerado,BOFA MERRILL LYNCH (conglomerado),,0.0,3.0,1733.0
2020,1º,Mais de quatro milhões de clientes,Conglomerado,BRADESCO (conglomerado),20.54,2045.0,9148.0,99546994.0
2020,1º,Menos de quatro milhões de clientes,Conglomerado,BRB (conglomerado),83.58,76.0,234.0,909295.0
2020,1º,Menos de quatro milhões de clientes,Conglomerado,BTG PACTUAL (conglomerado),,3.0,16.0,368553.0
2020,1º,Menos de quatro milhões de clientes,Conglomerado,C6 BANK (conglomerado),41.43,59.0,390.0,1423786.0
2020,1º,Mais de quatro milhões de clientes,Conglomerado,CAIXA ECONÔMICA FEDERAL (conglomerado),21.97,2116.0,9271.0,96303277.0
2020,1º,Menos de quatro milhões de clientes,Banco/financeira,"CARUANA S.A. - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO",,2.0,5.0,64401.0
2020,1º,Menos de quatro milhões de clientes,Conglomerado,CCB (conglomerado),69.26,18.0,197.0,259864.0
2020,1º,Menos de quatro milhões de clientes,Conglomerado,CITIBANK (conglomerado),,0.0,6.0,23775.0
2020,1º,Menos de quatro milhões de clientes,Conglomerado,CREFISA (conglomerado),9.03,16.0,182.0,1770650.0
2020,1º,Menos de quatro milhões de clientes,Conglomerado,DAYCOVAL (conglomerado),64.93,80.0,619.0,1232095.0
2020,1º,Menos de quatro milhões de clientes,Banco/financeira,DEUTSCHE BANK S.A. - BANCO ALEMAO,,0.0,1.0,3182.0
2020,1º,Menos de quatro milhões de clientes,Banco/financeira,FACTA FINANCEIRA S.A. - CRÉDITO FINANCIAMENTO E INVESTIMENTO,1416.17,132.0,758.0,93209.0
2020,1º,Menos de quatro milhões de clientes,Banco/financeira,"FINAMAX S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO",,0.0,6.0,100768.0
2020,1º,Menos de quatro milhões de clientes,Conglomerado,FINAXIS (conglomerado),,0.0,1.0,4596.0
2020,1º,Menos de quatro milhões de clientes,Conglomerado,GAZIN (conglomerado),,1.0,1.0,40721.0
2020,1º,Menos de quatro milhões de clientes,Conglomerado,GM (conglomerado),,4.0,25.0,343782.0
2020,1º,Menos de quatro milhões de clientes,Conglomerado,GRUPO BONSUCESSO - BS2 (conglomerado),49.57,18.0,91.0,363105.0
2020,1º,Menos de quatro milhões de clientes,Conglomerado,GRUPO ZEMA (conglomerado),,0.0,3.0,406570.0
2020,1º,Menos de quatro milhões de clientes,Conglomerado,HERVAL - HS (conglomerado),,2.0,5.0,106808.0
2020,1º,Menos de quatro milhões de clientes,Conglomerado,HONDA (conglomerado),,5.0,32.0,486564.0
2020,1º,Menos de quatro milhões de clientes,Conglomerado,INDUSTRIAL DO BRASIL (conglomerado),255.51,16.0,35.0,62618.0
2020,1º,Menos de quatro milhões de clientes,Conglomerado,INDUSVAL (conglomerado),,0.0,1.0,4988.0
2020,1º,Mais de quatro milhões de clientes,Conglomerado,INTER (conglomerado),163.51,780.0,1870.0,4770298.0
2020,1º,Mais de quatro milhões de clientes,Conglomerado,ITAU (conglomerado),21.66,1785.0,9118.0,82378627.0
2020,1º,Menos de quatro milhões de clientes,Banco/financeira,"JBCRED S.A. SOCIEDADE DE CREDITO, FINANCIAMENTO E INVESTIMENTO",,2.0,8.0,127758.0
2020,1º,Menos de quatro milhões de clientes,Banco/financeira,"KREDILIG S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO",,0.0,1.0,260710.0
2020,1º,Menos de quatro milhões de clientes,Banco/financeira,"LEBES FINANCEIRA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO",,1.0,1.0,219567.0
2020,1º,Menos de quatro milhões de clientes,Conglomerado,LECCA (conglomerado),,7.0,14.0,27157.0
2020,1º,Menos de quatro milhões de clientes,Conglomerado,MÁXIMA (conglomerado),,7.0,38.0,68831.0
2020,1º,Menos de quatro milhões de clientes,Conglomerado,MERCANTIL DO BRASIL (conglomerado),27.6,86.0,237.0,3115392.0
2020,1º,Menos de quatro milhões de clientes,Conglomerado,MERCEDES-BENZ (conglomerado),,0.0,1.0,20676.0
2020,1º,Mais de quatro milhões de clientes,Banco/financeira,"MIDWAY S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO",5.45,63.0,252.0,11541042.0
2020,1º,Menos de quatro milhões de clientes,Conglomerado,MODAL (conglomerado),48.7,28.0,105.0,574846.0
2020,1º,Menos de quatro milhões de clientes,Banco/financeira,"NEGRESCO S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTOS",,1.0,3.0,582196.0
2020,1º,Menos de quatro milhões de clientes,Banco/financeira,NOVO BANCO CONTINENTAL S.A. - BANCO MÚLTIPLO,532.98,39.0,70.0,73173.0
2020,1º,Menos de quatro milhões de clientes,Conglomerado,NUBANK (conglomerado),,1.0,14.0,2733789.0
2020,1º,Mais de quatro milhões de clientes,Conglomerado,OMNI (conglomerado),7.7,36.0,134.0,4670973.0
2020,1º,Menos de quatro milhões de clientes,Conglomerado,ORIGINAL (conglomerado),159.83,443.0,1063.0,2771671.0
2020,1º,Menos de quatro milhões de clientes,Conglomerado,OURINVEST (conglomerado),,0.0,1.0,47344.0
2020,1º,Mais de quatro milhões de clientes,Conglomerado,PAN (conglomerado),163.38,792.0,2841.0,4847503.0
2020,1º,Menos de quatro milhões de clientes,Conglomerado,PARANÁ BANCO (conglomerado),64.51,26.0,312.0,403023.0
2020,1º,Menos de quatro milhões de clientes,Banco/financeira,"PERNAMBUCANAS FINANCIADORA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO",14.43,39.0,98.0,2702654.0
2020,1º,Menos de quatro milhões de clientes,Conglomerado,PINE (conglomerado),,0.0,6.0,12036.0
2020,1º,Menos de quatro milhões de clientes,Conglomerado,PORTO SEGURO (conglomerado),16.54,38.0,199.0,2296267.0
2020,1º,Menos de quatro milhões de clientes,Banco/financeira,"PORTOCRED S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO",75.25,19.0,111.0,252491.0
2020,1º,Mais de quatro milhões de clientes,Banco/financeira,"REALIZE CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.",1.7,9.0,81.0,5275046.0
2020,1º,Menos de quatro milhões de clientes,Conglomerado,RENDIMENTO (conglomerado),,4.0,10.0,22276.0
2020,1º,Menos de quatro milhões de clientes,Conglomerado,RODOBENS (conglomerado),,0.0,3.0,12767.0
2020,1º,Menos de quatro milhões de clientes,Conglomerado,SAFRA (conglomerado),463.34,1247.0,3320.0,2691273.0
2020,1º,Menos de quatro milhões de clientes,Banco/financeira,"SANTANA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO",,3.0,5.0,29726.0
2020,1º,Mais de quatro milhões de clientes,Conglomerado,SANTANDER (conglomerado),26.32,1283.0,7003.0,48737277.0
2020,1º,Menos de quatro milhões de clientes,Banco/financeira,"SANTINVEST S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTOS",,3.0,8.0,14676.0
2020,1º,Menos de quatro milhões de clientes,Banco/financeira,"SAX S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO",,6.0,10.0,797529.0
2020,1º,Menos de quatro milhões de clientes,Banco/financeira,SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO,,0.0,1.0,254.0
2020,1º,Menos de quatro milhões de clientes,Banco/financeira,"SENFF S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO",,0.0,2.0,78008.0
2020,1º,Mais de quatro milhões de clientes,Conglomerado,SICREDI (conglomerado),0.42,2.0,2.0,4745257.0
2020,1º,Menos de quatro milhões de clientes,Conglomerado,SOCIETE GENERALE (conglomerado),,0.0,4.0,703.0
2020,1º,Menos de quatro milhões de clientes,Banco/financeira,"SOCINAL S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO",,0.0,8.0,5969.0
2020,1º,Menos de quatro milhões de clientes,Conglomerado,SOCOPA (conglomerado),,1.0,4.0,24738.0
2020,1º,Menos de quatro milhões de clientes,Conglomerado,SOFISA (conglomerado),84.31,20.0,84.0,237213.0
2020,1º,Menos de quatro milhões de clientes,Conglomerado,SOROCRED (conglomerado),,9.0,39.0,538412.0
2020,1º,Menos de quatro milhões de clientes,Banco/financeira,"VIA CERTA FINANCIADORA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTOS",,1.0,1.0,441930.0
2020,1º,Menos de quatro milhões de clientes,Conglomerado,VOLKSWAGEN (conglomerado),50.24,20.0,77.0,398010.0
2020,1º,Mais de quatro milhões de clientes,Conglomerado,VOTORANTIM (conglomerado),11.14,95.0,581.0,8527116.0
2020,1º,Menos de quatro milhões de clientes,Conglomerado,WESTERN UNION (conglomerado),,3.0,9.0,1.0
2020,1º,Menos de quatro milhões de clientes,Conglomerado,YAMAHA MOTOR (conglomerado),,0.0,15.0,181066.0
2020,2º,Menos de quatro milhões de clientes,Conglomerado,ABC-BRASIL (conglomerado),,1.0,2.0,21754.0
