ano,trimestre,instituicao,irregularidade,reclamacoes_procedentes,reclamacoes_total
2017,2º,ALFA (conglomerado),Não liberação de margem consignável (exceto cartão de crédito consignável),0.0,11.0
2017,2º,ALFA (conglomerado),Recusa de produtos ou serviços,0.0,2.0
2017,2º,ALFA (conglomerado),Renegociação de dívida (exceto cartão de crédito),0.0,3.0
2017,2º,ALFA (conglomerado),Renegociação de dívidas/encargos relacionadas a cartão de crédito,0.0,1.0
2017,2º,ALFA (conglomerado),Restrição à realização de portabilidade de operações de crédito consignado relativas a pessoas naturais,7.0,14.0
2017,2º,ALFA (conglomerado),"Utilização incorreta da taxa de desconto no cálculo do valor presente relacionadas às demais operações de crédito, exceto as de crédito consignado e de financiamento imobiliário",0.0,1.0
2017,2º,ALFA (conglomerado),Utilização incorreta da taxa de desconto no cálculo do valor presente relacionadas às operações de crédito consignado,0.0,2.0
2017,2º,"AVISTA S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO",Cobranças diversas,0.0,1.0
2017,2º,"AVISTA S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO",Outros assuntos não regulados relacionados a cartão de crédito,0.0,1.0
2017,2º,"AVISTA S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO",Renegociação de dívidas/encargos relacionadas a cartão de crédito,0.0,1.0
2017,2º,"AVISTA S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO",Restrições cadastrais,0.0,1.0
2017,2º,BANCO A.J. RENNER S.A.,Cobranças diversas,0.0,1.0
2017,2º,BANCO A.J. RENNER S.A.,Descumprimento de prazo de resposta da reclamação registrada no BCB,0.0,1.0
2017,2º,BANCO A.J. RENNER S.A.,Insatisfação com o atendimento prestado pelo SAC ou Central de Relacionamento,0.0,1.0
2017,2º,BANCO A.J. RENNER S.A.,Reclamações relacionadas a assuntos diversos,0.0,1.0
2017,2º,BANCO ARBI S.A.,Concessão de demais créditos (exceto consignado) mediante a formalização de título adequado com base em documentação falsa,1.0,1.0
2017,2º,BANCO ARBI S.A.,Insatisfação com a resposta recebida da instituição financeira referente à reclamação registrada no BCB,0.0,1.0
2017,2º,BANCO BM&FBOVESPA DE SERVIÇOS DE LIQUIDAÇÃO E CUSTÓDIA S.A.,Reclamações relacionadas a assuntos diversos,0.0,1.0
2017,2º,BANCO BONSUCESSO S.A.,Cobranças diversas,0.0,1.0
2017,2º,BANCO BONSUCESSO S.A.,Cobranças diversas em operação de crédito consignado,0.0,2.0
2017,2º,BANCO BONSUCESSO S.A.,Insatisfação com a resposta recebida da instituição financeira referente à reclamação registrada no BCB,0.0,3.0
2017,2º,BANCO BONSUCESSO S.A.,Irregularidades relacionadas ao Custo Efetivo Total (CET) de operação de crédito,0.0,1.0
2017,2º,BANCO BONSUCESSO S.A.,Irregularidades relacionadas ao fornecimento de contratos de operações de crédito consignado,0.0,7.0
2017,2º,BANCO BONSUCESSO S.A.,"Irregularidades relacionadas ao fornecimento de documento para liquidação antecipada de demais operações de operações de crédito, exceto consignado e financiamento imobiliário",1.0,1.0
2017,2º,BANCO BONSUCESSO S.A.,Irregularidades relacionadas ao fornecimento de documento para liquidação antecipada de operações de crédito consignado,0.0,5.0
2017,2º,BANCO BONSUCESSO S.A.,Irregularidades relacionadas ao fornecimento de informações sobre operações de crédito consignado (pessoa natural),0.0,7.0
2017,2º,BANCO BONSUCESSO S.A.,"Irregularidades relativas a integridade, confiabilidade, segurança, sigilo ou legitimidade das operações e serviços relacionados a cartões de crédito",0.0,1.0
2017,2º,BANCO BONSUCESSO S.A.,"Irregularidades relativas a integridade, confiabilidade, segurança, sigilo ou legitimidade das operações e serviços, exceto as relacionadas a cartão de crédito, cartão de débito, internet banking e ATMe serviços",0.0,2.0
2017,2º,BANCO BONSUCESSO S.A.,Não liberação de margem consignável - Cartão de crédito consignável,0.0,1.0
2017,2º,BANCO BONSUCESSO S.A.,Não liberação de margem consignável (exceto cartão de crédito consignável),0.0,5.0
2017,2º,BANCO BONSUCESSO S.A.,Oferta ou prestação de informação a respeito de produtos e serviços de forma inadequada,0.0,1.0
2017,2º,BANCO BONSUCESSO S.A.,Reclamações relacionadas a assuntos diversos,0.0,1.0
2017,2º,BANCO BONSUCESSO S.A.,Renegociação de dívidas/encargos relacionadas a cartão de crédito,0.0,3.0
2017,2º,BANCO BONSUCESSO S.A.,Restrição à realização de portabilidade de operações de crédito consignado relativas a pessoas naturais,0.0,35.0
2017,2º,BANCO BONSUCESSO S.A.,Restrições cadastrais,0.0,1.0
2017,2º,BANCO CBSS S.A.,Bloqueio de cartão de crédito,0.0,6.0
2017,2º,BANCO CBSS S.A.,Cancelamento de contrato a pedido do cliente não atendido,0.0,3.0
2017,2º,BANCO CBSS S.A.,Cobrança irregular de tarifa de serviço prioritário referente a cartão de crédito ,0.0,2.0
2017,2º,BANCO CBSS S.A.,Cobrança irregular de tarifa diferenciada em cartão de crédito,0.0,2.0
2017,2º,BANCO CBSS S.A.,Cobranças diversas em operação de crédito consignado,0.0,1.0
2017,2º,BANCO CBSS S.A.,Concessão de crédito (exceto consignado) sem a formalização do título adequado,1.0,1.0
2017,2º,BANCO CBSS S.A.,Concessão de crédito consignado sem a formalização do título adequado,0.0,1.0
2017,2º,BANCO CBSS S.A.,Descumprimento de prazo de resposta da reclamação registrada no BCB,0.0,1.0
2017,2º,BANCO CBSS S.A.,Descumprimento do prazo resposta da Ouvidoria,0.0,1.0
2017,2º,BANCO CBSS S.A.,Insatisfação com a resposta recebida da instituição financeira referente à reclamação registrada no BCB,1.0,5.0
2017,2º,BANCO CBSS S.A.,Insatisfação com o atendimento prestado pelo SAC ou Central de Relacionamento,0.0,3.0
2017,2º,BANCO CBSS S.A.,Insatisfação com o atendimento prestado por agências,0.0,1.0
2017,2º,BANCO CBSS S.A.,Irregularidades relacionadas ao fornecimento de contratos de operações de crédito consignado,1.0,1.0
2017,2º,BANCO CBSS S.A.,Irregularidades relacionadas ao fornecimento de documento para liquidação antecipada de operações de crédito consignado,1.0,2.0
2017,2º,BANCO CBSS S.A.,Irregularidades relacionadas ao fornecimento de documentos relativos a cartão de crédito,1.0,2.0
2017,2º,BANCO CBSS S.A.,Irregularidades relacionadas ao fornecimento de informações sobre operações de crédito (pessoa natural) - exceto crédito consignado e financiamento imobiliário,0.0,1.0
2017,2º,BANCO CBSS S.A.,Irregularidades relacionadas ao fornecimento de informações sobre operações de crédito consignado (pessoa natural),0.0,1.0
2017,2º,BANCO CBSS S.A.,"Irregularidades relacionadas ao fornecimento de outros documentos, exceto os relativos a cartão de crédito, contratos e liquidação antecipada",0.0,4.0
2017,2º,BANCO CBSS S.A.,"Irregularidades relativas a integridade, confiabilidade, segurança, sigilo ou legitimidade das operações e serviços relacionados a cartões de crédito",4.0,6.0
2017,2º,BANCO CBSS S.A.,"Irregularidades relativas a integridade, confiabilidade, segurança, sigilo ou legitimidade das operações e serviços, exceto as relacionadas a cartão de crédito, cartão de débito, internet banking e ATMe serviços",1.0,1.0
2017,2º,BANCO CBSS S.A.,Juros,0.0,1.0
2017,2º,BANCO CBSS S.A.,Não liberação de margem consignável (exceto cartão de crédito consignável),0.0,9.0
2017,2º,BANCO CBSS S.A.,Oferta ou prestação de informação a respeito de produtos e serviços de forma inadequada,4.0,7.0
2017,2º,BANCO CBSS S.A.,Outros assuntos não regulados relacionados a cartão de crédito,0.0,5.0
2017,2º,BANCO CBSS S.A.,Reclamações relacionadas a assuntos diversos,0.0,2.0
2017,2º,BANCO CBSS S.A.,Renegociação de dívida (exceto cartão de crédito),0.0,2.0
2017,2º,BANCO CBSS S.A.,Renegociação de dívidas/encargos relacionadas a cartão de crédito,0.0,6.0
2017,2º,BANCO CBSS S.A.,Restrição à realização de portabilidade de operações de crédito consignado relativas a pessoas naturais,3.0,23.0
2017,2º,BANCO CBSS S.A.,Restrições cadastrais,0.0,1.0
2017,2º,BANCO CBSS S.A.,Terminais eletrônicos e internet,0.0,1.0
2017,2º,BANCO CNH INDUSTRIAL CAPITAL S.A.,Descumprimento de ordem judicial,0.0,1.0
2017,2º,BANCO CNH INDUSTRIAL CAPITAL S.A.,Reclamações relacionadas a assuntos diversos,0.0,1.0
2017,2º,BANCO CNH INDUSTRIAL CAPITAL S.A.,Renegociação de dívida (exceto cartão de crédito),0.0,1.0
2017,2º,BANCO CSF S.A.,Ausência de informações sobre as regras de funcionamento nos contratos de cartões de crédito ou seu descumprimento,0.0,12.0
2017,2º,BANCO CSF S.A.,Ausência de título adequado relativo a cartão de crédito,1.0,1.0
2017,2º,BANCO CSF S.A.,Cancelamento de contrato a pedido do cliente não atendido,0.0,2.0
2017,2º,BANCO CSF S.A.,Cobrança irregular de tarifa de serviço prioritário referente a cartão de crédito ,0.0,2.0
2017,2º,BANCO CSF S.A.,Cobrança irregular de tarifa diferenciada em cartão de crédito,2.0,4.0
2017,2º,BANCO CSF S.A.,Cobrança irregular de tarifa por serviços não contratados,0.0,1.0
2017,2º,BANCO CSF S.A.,Cobranças diversas,0.0,19.0
2017,2º,BANCO CSF S.A.,Concessão de crédito (exceto consignado) sem a formalização do título adequado,1.0,1.0
2017,2º,BANCO CSF S.A.,Concessão de demais créditos (exceto consignado) mediante a formalização de título adequado com base em documentação falsa,1.0,1.0
2017,2º,BANCO CSF S.A.,Descumprimento de prazo de resposta da reclamação registrada no BCB,0.0,1.0
2017,2º,BANCO CSF S.A.,Insatisfação com a resposta recebida da instituição financeira referente à reclamação registrada no BCB,0.0,5.0
2017,2º,BANCO CSF S.A.,Insatisfação com o atendimento prestado pelo SAC ou Central de Relacionamento,0.0,6.0
2017,2º,BANCO CSF S.A.,"Irregularidades relacionadas ao fornecimento de documento para liquidação antecipada de demais operações de operações de crédito, exceto consignado e financiamento imobiliário",1.0,1.0
2017,2º,BANCO CSF S.A.,Irregularidades relacionadas ao fornecimento de documentos relativos a cartão de crédito,0.0,3.0
2017,2º,BANCO CSF S.A.,Irregularidades relacionadas ao Sistema de Informações de Crédito do Banco Central (SCR),0.0,2.0
2017,2º,BANCO CSF S.A.,Irregularidades relacionadas à liquidação de documentos (exceto cheques),0.0,1.0
2017,2º,BANCO CSF S.A.,"Irregularidades relativas a integridade, confiabilidade, segurança, sigilo ou legitimidade das operações e serviços relacionados a cartões de crédito",3.0,14.0
2017,2º,BANCO CSF S.A.,Juros,0.0,9.0
2017,2º,BANCO CSF S.A.,Oferta ou prestação de informação a respeito de produtos e serviços de forma inadequada,4.0,8.0
2017,2º,BANCO CSF S.A.,Outros assuntos não regulados relacionados a cartão de crédito,0.0,4.0
2017,2º,BANCO CSF S.A.,Produto ou serviço não solicitado (exceto cartões de crédito/débito),0.0,1.0
2017,2º,BANCO CSF S.A.,Recusa de produtos ou serviços,0.0,5.0
2017,2º,BANCO CSF S.A.,Renegociação de dívida (exceto cartão de crédito),0.0,2.0
2017,2º,BANCO CSF S.A.,Renegociação de dívidas/encargos relacionadas a cartão de crédito,0.0,22.0
2017,2º,BANCO CSF S.A.,Restrições cadastrais,0.0,3.0
2017,2º,BANCO DA AMAZONIA S.A.,Concessão de crédito consignado sem a formalização do título adequado,1.0,1.0
2017,2º,BANCO DA AMAZONIA S.A.,Débito em conta de depósito não autorizado pelo cliente,0.0,2.0
2017,2º,BANCO DA AMAZONIA S.A.,Insatisfação com o atendimento prestado pelo SAC ou Central de Relacionamento,0.0,1.0
2017,2º,BANCO DA AMAZONIA S.A.,"Irregularidades relacionadas ao fornecimento de outros documentos, exceto os relativos a cartão de crédito, contratos e liquidação antecipada",0.0,1.0
2017,2º,BANCO DA AMAZONIA S.A.,Irregularidades relacionadas à liquidação de documentos (exceto cheques),2.0,3.0
2017,2º,BANCO DA AMAZONIA S.A.,"Irregularidades relativas a integridade, confiabilidade, segurança, sigilo ou legitimidade das operações e serviços, exceto as relacionadas a cartão de crédito, cartão de débito, internet banking e ATMe serviços",0.0,1.0
2017,2º,BANCO DA AMAZONIA S.A.,Reclamações relacionadas a assuntos diversos,0.0,2.0
2017,2º,BANCO DA AMAZONIA S.A.,Recusa de produtos ou serviços,0.0,1.0
2017,2º,BANCO DA AMAZONIA S.A.,Restrições cadastrais,0.0,2.0
2017,2º,BANCO DA AMAZONIA S.A.,Terminais eletrônicos e internet,0.0,1.0
2017,2º,BANCO DE LAGE LANDEN BRASIL S.A.,Restrições cadastrais,0.0,1.0
2017,2º,BANCO DE TOKYO-MITSUBISHI UFJ BRASIL S.A.,Insatisfação com o atendimento prestado por agências,0.0,1.0
2017,2º,BANCO DO ESTADO DE SERGIPE S.A.,Cancelamento de contrato a pedido do cliente não atendido,4.0,6.0
2017,2º,BANCO DO ESTADO DE SERGIPE S.A.,Cartões de débito,0.0,1.0
2017,2º,BANCO DO ESTADO DE SERGIPE S.A.,Cobrança irregular de tarifa por serviços não contratados,1.0,1.0
2017,2º,BANCO DO ESTADO DE SERGIPE S.A.,Cobranças diversas em operação de crédito consignado,0.0,1.0
